DKHO,Kociemba,Shuffle Length
3.198248625,0,2
4.28311944,0,19
4.735773563,0.002008677,25
3.188872576,0,2
4.789340258,0.012016773,17
3.481174946,0,8
5.321107626,0.001000881,17
5.826511621,0.002999544,26
3.799809694,0,0
5.63854146,0.002010107,20
3.243034601,0,11
4.679493427,0.004506111,20
5.495273113,0.035597563,22
3.830493927,0,1
3.999891996,0,5
4.721156597,0.001504183,26
5.826873779,0,15
3.935467005,0,8
3.708526611,0,5
4.485649824,0.009520054,21
3.500417948,0,10
3.207394838,0,3
4.886928558,0.01101613,26
3.194818974,0,5
4.027432442,0.000999928,21
3.528377533,0,10
4.713905811,0.003007412,26
3.675124407,0.000500917,9
3.435423136,0,4
3.454575777,0,5
3.821481466,0,2
4.332188606,0.000500202,13
4.427387476,0,16
5.557968378,0.001507759,22
3.718115568,0,10
5.872961044,0.0075109,22
6.131082296,0.000998974,18
3.795526505,0,9
3.817069292,0,20
3.288291931,0,2
4.865199566,0.013525724,15
3.819670439,0,7
4.569885969,0.000999689,16
3.158702135,0,1
4.768761396,0.003003359,15
4.511497259,0.002012968,17
4.168962717,0,15
4.398391724,0.000498056,14
3.900884628,0.006509304,12
4.91442275,0.000499487,19
4.248279572,0,13
4.426525354,0,10
3.863600731,0,12
4.695593119,0,15
3.630303621,0,10
5.70845437,0.005017757,25
4.590749025,0,10
4.949046612,0,4
3.722554922,0,9
3.990414858,0,4
4.059716225,0,13
5.773186922,0.005499363,18
5.504223824,0.007027626,25
6.042856932,0.015528679,19
4.383337259,0,8
4.840444088,0.007499933,18
5.452345371,0.000501633,18
5.548736811,0.010509491,24
3.408222198,0,8
4.535637617,0.00202775,23
4.027300596,0,16
21.25977325,0.003503323,17
3.709961653,0.000500679,13
3.212731838,0,0
3.406691551,0,5
5.47581315,0.001499653,18
5.327265263,0.002502918,21
3.426265955,0,9
4.047908545,0,12
3.785856009,0,10
4.086696625,0,12
5.387266397,0.001519442,23
4.073615789,0,10
5.521207571,0.006499767,25
3.765854836,0,6
5.705812454,0.004513264,17
4.90331769,0.001000166,18
4.529484272,0,10
4.928263664,0.010514021,18
5.141393661,0,5
5.113623857,0,0
4.411102295,0,1
5.209233999,0.017030716,17
4.945842266,0,19
4.846398592,0,18
4.367921829,0.000504494,7
4.208271265,0,10
4.641716719,0.000499725,13
3.65723443,0.000501633,6
3.428075552,0,6
3.618633509,0,12
5.037915707,0.011018753,19
3.994430065,0,10
3.600781679,0,0
3.776954889,0.000497818,12
5.056919098,0.000499725,8
4.227816343,0,9
3.953203917,0,13
3.386459112,0,5
3.74292326,0,12
3.268712997,0,12
3.284631014,0,4
4.708064795,0.014047623,24
4.962862968,0.008516312,24
5.295743704,0.006511927,21
3.59530139,0,10
4.991942167,0,22
5.10263586,0.00350976,25
3.717863798,0,3
3.802806854,0,4
6.315077305,0.012073994,26
3.22668314,0,2
3.891004086,0.001000166,9
3.201688766,0,2
3.413757563,0,11
3.253935814,0,5
3.666113853,0,10
3.426264524,0,9
3.126106977,0,0
5.028944492,0.004513979,19
3.173658133,0,0
4.911445141,0.004007816,23
4.641781569,0.001999617,14
4.728605032,0.001003981,22
4.809244633,0.001505852,26
4.12530303,0.000998259,16
3.680090189,0,12
4.793733597,0.006508827,20
3.294906616,0,3
3.705236673,0,13
5.029034138,0.005010605,20
5.109222174,0.000500202,19
3.644182682,0,9
4.413789511,0.000499725,15
4.189043999,0,16
3.909484386,0,10
4.709026814,0.003504992,23
5.002300739,0.003006935,24
3.551648617,0,6
3.521083117,0,5
4.166128874,0.000999928,15
4.69755435,0.009520054,23
4.064670324,0.000501156,10
3.530262709,0,6
3.200557709,0,0
3.144423962,0,0
4.835513353,0.006013393,25
3.171889544,0,0
3.148298025,0,3
3.20574975,0,1
4.653216839,0.004508257,25
4.754940987,0.013023376,15
3.26428175,0,3
3.612682819,0.000499249,10
5.14847827,0.009521008,18
3.251197815,0,7
3.579946518,0,11
4.790283203,0.007513285,23
3.214759588,0,0
4.52554369,0.001504421,19
4.04243207,0,16
3.68282342,0,13
4.634038687,0.004010677,21
3.346568346,0,13
3.20836091,0,5
3.496877909,0,4
3.276595116,0,10
3.152296543,0,1
3.982186079,0,13
4.272180557,0.006013632,21
3.179583311,0,3
3.566766024,0.000499249,13
4.296795368,0.000499725,21
3.234611273,0,6
4.744064093,0.003008842,22
3.292912245,0,12
5.580511332,0.005003691,23
3.187548161,0,4
3.608542442,0,13
4.349585772,0.004010439,26
16.40901947,0,11
3.128456831,0,5
3.452042341,0,10
3.674618244,0.000500917,7
3.212486267,0,0
4.731899977,0.013015747,26
4.535475254,0.01051569,18
3.449394226,0,2
3.333581686,0,2
3.364061832,0,8
3.182227612,0.000499725,7
3.469656944,0,8
3.210473061,0,3
3.426301956,0,22
3.187031746,0,1
5.163598537,0.011525869,23
4.034338236,0,16
3.226596832,0.001003265,7
3.369507074,0,6
3.277942657,0,7
3.77131772,0.000505447,11
5.147760153,0.020531893,17
3.208304405,0,5
10.51726532,0.000500917,20
3.444957733,0,1
3.822229147,0,14
4.831213236,0.00351119,24
4.541604996,0,21
4.561992407,0,17
3.166074991,0,0
3.207832575,0,7
4.667973757,0.003998995,20
4.884572506,0.007517099,25
3.133145809,0,0
5.191733122,0.008517742,17
3.120007992,0,3
3.605771303,0.002499342,7
4.716525555,0.011524916,16
4.586589336,0.000499725,23
4.771191835,0.006525517,23
5.538655758,0.009024858,26
3.327005863,0,13
3.273128033,0,13
3.862007856,0.000500679,12
3.271004438,0,9
3.508505821,0,13
3.179173946,0,1
3.347170591,0,9
3.171451569,0,3
4.289489985,0.00249958,21
3.423074245,0,0
4.374342442,0.006512642,26
4.986521006,0.008009911,22
3.507736921,0,8
3.224515915,0,0
3.632406473,0,18
3.429641247,0,12
4.517252684,0.014054537,16
3.209965706,0,4
3.168835878,0,5
3.179877758,0,4
4.565484285,0.000999928,24
3.216471195,0,5
4.88553977,0.004050255,25
5.091575146,0.043047905,24
3.725519896,0,12
4.038751602,0,21
4.702540398,0.009517193,19
3.995295525,0.000999689,18
3.47339797,0,0
4.495286465,0.001999378,21
4.581851482,0.000999451,17
4.970108032,0.010016918,21
4.391726494,0.005506039,17
3.231843948,0,4
3.357658386,0,8
5.531727314,0.015534163,23
3.128415585,0,1
3.349475384,0,20
3.410478592,0,12
4.008957863,0,21
3.215150118,0,4
3.320621967,0.000499964,11
4.152555466,0,13
3.501951456,0,3
4.484979153,0.010525227,22
4.31192565,0.00049901,24
4.250290632,0.001004457,19
3.558881521,0,14
4.999388695,0.013538837,26
4.076053619,0,18
3.147064209,0,2
4.890310526,0.012016535,26
3.476497889,0,8
3.852430105,0,5
4.472795248,0.000499249,15
3.312673569,0,5
4.357733488,0,10
3.824659348,0,10
4.221264124,0.002500534,14
4.347126007,0,16
5.00913167,0.006510973,16
5.964934587,0.006008387,23
3.73158741,0,6
3.470813274,0,13
3.284254313,0,8
3.818259239,0,12
5.064789534,0.010008812,23
3.455098867,0,4
3.678443193,0,10
4.590867043,0.001003742,23
4.23281455,0.000505924,13
4.554700136,0.000499725,19
3.152822971,0,0
3.198500395,0,2
3.873152733,0.006998777,18
3.19012332,0,1
4.739028931,0.005020857,26
3.374086618,0,0
5.123832226,0.008530617,21
3.41543889,0,14
3.538922548,0,5
3.380099773,0,7
3.276630163,0,5
5.092475176,0.013045549,25
3.25301671,0,11
5.297276974,0.018530369,17
3.359498501,0,3
4.307786942,0.001499414,16
5.166136503,0.001501083,25
5.323495388,0.005088091,22
3.400540829,0,6
3.276978016,0,7
3.755712032,0.000506878,13
3.178378582,0,2
3.387156487,0,7
3.553013563,0,6
3.566428185,0,6
3.378806353,0,5
3.814660072,0.000498056,13
5.156743288,0.005998135,26
4.676122427,0.003510237,19
3.370338678,0,5
4.936762333,0.002001762,18
3.507167101,0,7
4.48559761,0.000998735,17
4.033560514,0.000499725,14
3.221505165,0,6
4.379727364,0.00200057,15
5.026772499,0.011009455,26
4.318957567,0.004528046,14
5.284561396,0.013516426,21
4.817340612,0.010522604,20
4.69385314,0.000501156,17
4.972997904,0.011044025,23
3.68986392,0,8
3.236999035,0,0
3.350113392,0,7
3.211369276,0,2
3.22701931,0,5
3.209989309,0,3
3.486856222,0,2
4.958617926,0.005508423,19
3.126647711,0,1
5.033857346,0.009525537,25
4.248533964,0.00200367,11
3.211372852,0,0
3.303925753,0,7
3.978673935,0.000504971,20
3.629625082,0,13
5.065412045,0.011528969,24
5.225018501,0.006580591,17
3.549457788,0,3
4.253316164,0.000501156,17
4.30605197,0,14
5.089512587,0.008011103,23
4.041718721,0,12
4.220126152,0.000501394,19
4.066673994,0.000499487,15
4.465300798,0.00600934,21
3.453102112,0,6
4.393571138,0,10
3.251771212,0,0
3.267141581,0,3
4.991727352,0.008524418,25
4.655585766,0.005033016,22
4.629112959,0.004004955,25
3.46209383,0,12
3.684395552,0,12
3.875257492,0.000999689,16
3.576164246,0,10
4.048842192,0,8
3.500830173,0,9
5.209475994,0.00251174,26
3.501456261,0,6
4.851600409,0.006006956,26
27.01491237,0,22
5.051250219,0.014028311,22
3.985514164,0,13
3.711693525,0,9
5.298799753,0.019035816,21
3.47040534,0,8
5.020815849,0.001496553,25
3.302933931,0,6
4.505751133,0.000500441,22
3.903923512,0,15
3.346912861,0,4
3.841638327,0.000499964,16
3.793959856,0,24
3.278701782,0,2
4.49202919,0.006017208,22
3.167971849,0,4
4.847133636,0.003000021,23
3.222422123,0,7
4.155940056,0,3
5.163052559,0.00200367,16
3.910284281,0.000505447,10
3.187580824,0,0
4.583840132,0.003004789,17
4.961100101,0.008513451,23
3.256568909,0,5
3.342368364,0.000500202,8
3.831609249,0,10
5.103678226,0.014529467,23
3.739295721,0,8
3.346390724,0,1
4.240015984,0.000500441,25
5.126602888,0.001499891,14
4.936919928,0.015045643,20
3.734996796,0,8
3.439209223,0,11
4.816542864,0.000499725,17
3.521039486,0,5
3.72178483,0,4
4.72272706,0.003499985,18
5.618961811,0.008520842,23
4.368545532,0.000998974,21
3.810604334,0,10
3.366478205,0,9
4.124774694,0.001000643,11
4.914303541,0.00200057,23
3.523668766,0,2
4.732174873,0,11
4.964305639,0.000500441,25
4.752412081,0.002998352,24
3.314038992,0,4
4.411993265,0.000500441,21
4.379572392,0.000499964,20
3.329602957,0,4
4.720743895,0.002510786,26
3.509328842,0,3
3.597030878,0,6
3.446375847,0,12
3.358755112,0,13
3.313806772,0,6
3.936652422,0.000498772,15
4.175160646,0.001000166,13
5.233330727,0.009512424,21
3.848361015,0,12
4.753927469,0,15
3.575650692,0,1
4.249437571,0,10
4.879085779,0.005998611,26
4.056556225,0,18
5.111374855,0.006010771,21
3.190790653,0,14
4.172945261,0,22
3.48907423,0,2
5.234741211,0.003999949,26
3.457527876,0,8
3.700727463,0,1
4.839692831,0.007021666,22
3.507250547,0,17
3.275661707,0,1
4.236038208,0.000500917,14
3.808137178,0,15
5.218738556,0.014534712,26
3.445089817,0,8
5.215299129,0.005004168,19
3.234605789,0,4
3.469997644,0,1
3.440432549,0,8
4.019203901,0,11
3.250524282,0,4
4.480806589,0.007016182,19
3.323849916,0,6
4.554811239,0.001006126,22
4.570846319,0.006510258,19
3.598559856,0,10
4.50046587,0.002500057,14
4.781024694,0.000514507,19
3.481662035,0,14
3.135913134,0,0
3.618004322,0,13
3.291550398,0.000505686,13
4.313163996,0.00249958,19
3.295423508,0,7
4.05589509,0.004500866,14
4.476585388,0.000998735,15
3.444392681,0,12
3.23266983,0,8
4.950515509,0.00502634,26
3.610961199,0,9
3.704305172,0,13
3.33895874,0,10
5.697261095,0.007508993,25
4.912390232,0.012019634,19
4.670011759,0.003998756,20
4.33912468,0.000999928,12
4.773297548,0,15
4.678460121,0.004499674,25
4.08171463,0,11
3.882457495,0,15
4.309094191,0.002509117,15
4.568449259,0.001507998,19
4.980061054,0.000500679,15
4.803430796,0.00049901,18
5.794017553,0.008008718,24
5.213932514,0.009516954,20
3.784346104,0,4
3.52271843,0.000501156,13
5.700949907,0.020535469,23
3.619061232,0,4
5.124572277,0.002998352,17
3.99946332,0,15
3.757210732,0,4
4.68531251,0.002500057,22
3.347610474,0,2
3.406039953,0,5
4.813571453,0.002011538,25
3.713292837,0,15
4.837681055,0.016025305,24
4.777896166,0.005510807,15
3.284781456,0.00049758,4
5.707923174,0.009018421,22
4.145267963,0.00049901,20
5.032411814,0.002500296,25
5.258113384,0.012031078,24
4.352860451,0.000499487,14
5.254451275,0.01051712,22
4.643692732,0,26
5.442691565,0.002507448,24
4.500224829,0.001003027,13
4.760390759,0.003501654,22
3.602871895,0,3
5.348201513,0.01553154,19
4.433480263,0.001499891,20
4.322581291,0.001002789,22
3.682337761,0,2
3.500581264,0,9
3.397618055,0,4
3.784206152,0.000501156,13
3.316859484,0,1
3.327642918,0,3
3.651955605,0.000498772,18
4.091540813,0,2
3.755362034,0,12
3.303545475,0,9
4.085341692,0.000500202,10
5.165474415,0.000499964,22
5.283705711,0,18
4.716433525,0.002008677,23
5.19324255,0.002508879,21
3.722567558,0,4
4.636838913,0,5
6.042148352,0.003503561,26
4.585767269,0,24
5.707501411,0.010013103,22
4.042408466,0.000501156,11
5.691564083,0.029052019,19
5.713061094,0.01751256,26
5.832707644,0.001503229,22
4.353068352,0.002500057,24
5.13372016,0.003001928,24
4.814808846,0.012030125,23
3.981408119,0,15
3.311591148,0,6
4.530527592,0.010028362,16
3.239598274,0.000515223,6
3.357972145,0,10
3.667863131,0,16
5.267231464,0.007016182,25
3.929407597,0.000501156,11
5.445210218,0.002002716,25
3.570776701,0,11
5.034019232,0.001006126,20
3.330145121,0,1
3.278618574,0,3
3.199735641,0,1
3.575786114,0,17
3.313738108,0,8
3.290781736,0,2
3.592368603,0,11
5.249111414,0.016517639,20
3.864456654,0,11
4.901917458,0.001000166,23
3.828574657,0,8
4.091402292,0,14
4.974861622,0.00551033,22
3.546455383,0.000500917,6
3.445514441,0,7
5.320224047,0.002999306,22
3.860235691,0,13
4.662689447,0.001004696,21
4.097365379,0,5
5.355997086,0.001004219,18
4.161800623,0,6
4.247462034,0,12
4.47640729,0.001004219,12
3.637458801,0,11
5.036146402,0.014018297,25
4.359218836,0.000500917,19
3.219195843,0,5
3.235351563,0,6
3.327557325,0.000499487,15
4.522310257,0.00199914,19
4.042363882,0.001004934,17
3.247127295,0,1
3.518888235,0,12
4.547548056,0.002510071,20
3.853086948,0.000506401,16
3.79340148,0,11
4.659159184,0.002499342,24
4.171096563,0.000500441,16
4.604299307,0.000999451,26
3.262141228,0,4
4.711542606,0.011095762,26
3.335716486,0,4
4.499899626,0.001000166,24
3.266304255,0,1
3.474574089,0,1
5.313505888,0.004499674,20
3.398083448,0,13
4.223343849,0.001511335,14
5.276302099,0.020050287,19
3.232829332,0,10
3.541578054,0,11
4.644016027,0,18
4.704216719,0.002510309,19
4.468919992,0.000999928,25
3.246968269,0,7
3.601587534,0,0
4.915534496,0,23
4.968778849,0,13
4.136125565,0.000500202,11
3.276829481,0,4
4.283136129,0.000500917,16
4.906917334,0.00902009,18
3.225772858,0,6
5.077353001,0.003510714,15
3.815438271,0,13
3.977413177,0,7
4.982470512,0.003011942,21
3.477649927,0,5
6.006663322,0,13
3.679600239,0,10
3.881223679,0,13
3.488751411,0.000501394,5
4.493754387,0,9
3.563910723,0,14
4.827225685,0.003497839,25
3.216598272,0,2
4.849203348,0.011520386,26
3.198569298,0,1
4.852774382,0.004007816,26
3.561888695,0,2
3.879709244,0.001998425,12
4.601826429,0.001499891,14
4.004142761,0.002506971,16
5.262572289,0.001000166,23
6.318781614,0.01651907,22
3.797778845,0,17
5.101617813,0.020057201,26
4.8352983,0.000501394,20
4.521087408,0.00100565,13
4.493288994,0.002004623,18
3.616173029,0.001999617,14
4.734395981,0.007015467,18
4.381755352,0.003999472,17
4.112859726,0.002007723,19
3.356090546,0,5
3.952836275,0,16
3.374187469,0,5
3.738610506,0.000499487,6
5.253775597,0.013025284,24
3.171828508,0,2
3.239616871,0,8
3.2401824,0,4
5.09965086,0.004500151,19
4.891726971,0,26
3.526399136,0,3
4.168345451,0.000501633,9
3.225390434,0,8
3.516846657,0,12
5.243308783,0.001504898,17
5.078091621,0.002511501,26
3.217632532,0,1
3.6326437,0,3
3.260158777,0,1
4.40135622,0.002002716,20
4.572637796,0.000999451,18
4.491880178,0.005009174,22
3.385790825,0,6
3.235642195,0,3
4.808597326,0.007508993,17
3.338362455,0.000499725,10
4.620777607,0.01202774,25
5.063875437,0.004021406,20
3.494256735,0.000501156,12
3.726504087,0,9
5.072463274,0.009008169,26
4.342640877,0,25
5.176199913,0.004002333,18
4.737644196,0.011527777,14
4.455319643,0.002020359,14
3.709991455,0,20
3.963515997,0,10
4.813241959,0.005496502,19
3.37476325,0,7
3.413069963,0,7
5.8555758,0.005011082,20
6.197327137,0,9
4.701805115,0.006009102,20
3.526990414,0.000499725,6
3.29245162,0,5
3.887374163,0.002503633,13
3.491535664,0,3
3.369660854,0,9
3.498780966,0,8
4.684030533,0.020038605,23
3.521838665,0,12
4.74700141,0.006009102,13
4.582137585,0.004510403,20
3.240364075,0,7
3.198910952,0,5
3.911642551,0,9
3.287751198,0,5
5.2836411,0.011520624,25
3.756820202,0,12
4.312739849,0.001004457,18
3.203288078,0,1
3.277377605,0,3
3.196976662,0,4
3.517218351,0,2
4.640421867,0.00300312,17
3.258860588,0,9
4.619332075,0.006517172,21
4.143254519,0,14
3.523820639,0.000499725,6
4.396314859,0.002000809,16
3.350676537,0.00049901,6
3.181936026,0,0
3.281650782,0,6
4.19583416,0.001000166,16
3.121244431,0,2
3.564217329,0,5
3.23966074,0,0
3.314256191,0,6
3.384950876,0,3
3.350620508,0.00100112,7
3.401132107,0,8
4.68084693,0.002999783,23
5.15669775,0.007025003,16
5.723947525,0.003011227,24
5.174932003,0.005010366,21
4.802807331,0.002511501,21
4.506960392,0.000501156,16
4.610002995,0.000499964,14
3.753060579,0,9
6.53612113,0.001512289,22
3.675293207,0,8
3.643146038,0.000501156,8
3.409763098,0,5
3.913750887,0,10
5.142128468,0.00251174,24
4.708487034,0,25
5.007424116,0.002000809,22
3.191902876,0.000500202,8
3.470797539,0,2
4.461579323,0.000499964,22
4.940152407,0.002996683,26
5.340710402,0.013020277,15
4.731414318,0.002499104,18
4.703493118,0.004508257,23
3.164702415,0,0
3.20243144,0,1
4.001752138,0.000499964,16
3.367415905,0,7
5.25237608,0.007017612,21
5.102102518,0.007005453,24
5.512040854,0.000500917,24
5.514218569,0.0330441,21
3.857654095,0,14
3.272990465,0.000505447,8
3.308521986,0,4
4.571229935,0.007511139,26
4.479005814,0.001498938,16
4.617228508,0,12
4.113307476,0,11
4.5625875,0.010516405,15
4.814180136,0.00551796,16
4.675354242,0.00299859,17
3.211729765,0,2
3.406102657,0,7
3.345945358,0,4
4.886859417,0.013019323,24
3.799350023,0,11
3.737005472,0,8
4.331882,0.000499487,16
3.359307051,0,1
4.072008371,0.001004457,18
4.482527256,0.002504349,25
3.822863579,0.000499964,10
4.202277422,0,17
3.381306171,0,4
4.694663286,0.001499414,23
3.375977755,0,1
4.261839867,0.000500441,13
3.369040251,0,7
5.228282452,0.004512548,22
3.207467556,0,3
4.450185537,0.001999855,25
4.506392479,0.001000166,26
3.220197439,0,1
3.389700413,0,2
5.496363878,0.042639494,24
4.048984289,0,0
3.565112114,0,6
5.306404352,0.026571512,24
4.02754426,0.000501156,18
5.314550638,0.000499964,21
5.527541876,0.011526823,24
5.231395483,0.003504515,14
4.388645411,0,13
6.13553524,0,9
3.441655636,0,2
5.541497707,0.038136482,22
3.529221296,0,14
4.363749266,0.001501322,17
4.570048809,0.005507469,26
4.395328999,0.000505447,10
4.114878416,0.000998974,16
3.350191116,0,1
3.799465656,0,10
4.344048738,0.001499891,20
3.477576017,0,3
3.847923994,0,12
4.729520798,0.004507542,22
4.227872372,0.000500679,22
5.362175941,0.015526295,19
3.549295902,0,18
3.290365696,0,4
4.570754051,0.009016037,18
3.892487526,0.000499964,16
3.461141348,0,5
3.757748365,0.002508163,13
4.576136589,0.003500462,24
4.559267521,0.001499653,20
3.169780731,0,1
4.607949257,0.012523651,20
3.975439787,0.001502991,12
4.876237392,0.005506277,19
4.671923876,0.003508806,25
3.249037027,0,4
3.293649912,0,6
4.35220623,0,18
4.822550535,0.007504702,25
4.78350091,0.001003265,24
3.345083714,0,11
3.140045881,0,1
4.293194532,0.006020784,21
5.293642282,0.008545399,22
5.435885668,0.053560257,25
3.534160376,0.000500917,4
3.334628582,0,4
5.15763092,0.003010273,15
3.197350025,0,7
5.059463739,0.020527363,25
3.280968428,0,5
4.11288023,0,13
3.475306511,0,8
4.868983507,0,25
5.09610939,0.002002954,20
5.092987061,0.036069155,25
3.303853989,0,2
3.685313463,0,8
3.385979652,0,2
3.427926779,0,5
4.871487141,0.009016037,22
3.859861851,0,7
4.157613754,0,6
4.794199944,0.00751996,19
5.067058086,0.010020256,23
4.830465317,0.002998829,17
4.867908239,0.002010584,23
4.621945858,0.002508879,18
3.273625374,0.000503302,2
4.942171812,0.003997087,26
3.479680061,0,0
4.736136436,0.00702095,20
4.886911869,0.011022568,15
4.340994835,0.000499725,20
3.579647064,0,11
3.838757038,0,14
4.077553272,0.00150013,21
3.396521568,0,6
5.719998837,0.002000093,23
3.941309214,0,9
5.013226986,0.008013964,16
3.804723978,0,0
5.130162716,0.003000021,23
5.75103569,0.007012129,24
8.10535121,0.025552273,26
3.580195189,0.000498772,11
3.26889205,0,3
5.186049223,0.03207159,25
4.846493721,0.000998974,12
4.378120899,0.000500917,16
4.941093922,0.000999689,17
3.409591913,0,13
4.261472464,0.000499249,16
4.777840376,0.00402236,17
5.521311998,0.004999399,22
3.256640434,0,1
5.380409956,0.015556812,19
5.283479929,0.000997305,18
3.275696039,0,8
3.716184378,0,5
3.46302557,0,8
3.410669327,0,14
4.873960972,0.005003214,22
4.933283806,0.011054039,23
4.023117304,0,18
3.552750349,0,2
3.268814564,0,0
4.830810547,0.015015125,23
4.145878077,0,11
3.22996664,0,3
5.120331764,0.00650835,22
4.300585508,0.000500679,13
4.767898798,0.007012606,20
5.095095873,0.000999928,24
3.254394293,0,1
4.999087811,0.005510092,26
3.430392504,0,1
5.553312302,0.00901103,26
4.381707668,0.000501633,13
4.96329546,0.000998497,15
3.309143782,0,0
4.725145578,0.004511833,17
3.303388596,0,1
5.062335014,0.00150013,24
3.349749327,0,0
3.360860825,0,7
3.680382967,0,5
4.284929514,0.000999451,19
3.643806458,0,2
3.538148642,0,6
3.529970646,0,8
5.065086126,0.00249958,25
4.653880358,0.008521557,24
3.609217405,0,3
4.977013588,0.003013134,17
4.190829277,0,21
4.041542053,0,13
4.250377178,0.00049758,16
4.509560108,0.000501871,18
3.242147684,0,5
4.94989109,0.00800705,24
5.741212845,0.007519245,23
3.274260283,0,0
4.400615215,0.007528782,23
3.285377741,0,5
4.774681807,0.001998663,18
